电影名,评分,评价人数,链接,时间,演员,imdb_link
I型起源,7.6,15362.0,https://movie.douban.com/subject/24696982/,2014-01-18(圣丹斯电影节),"['迈克尔·皮特', '史蒂文·连', '阿斯特丽德·伯格斯-弗瑞斯贝', '布里特·马灵', 'D",http://www.imdb.com/title/tt2884206
K,7.4,16873.0,https://movie.douban.com/subject/10545923/,2012-10-05 (日本),"['浪川大辅', '杉田智和', '福山润', '宫野真守', '津田健次郎']",http://www.imdb.com/title/tt2377452
K星异客,8.5,46262.0,https://movie.douban.com/subject/1306607/,2001-10-26(美国),"['凯文·史派西', '杰夫·布里吉斯', '玛丽·麦克科马克', '阿尔法·伍达德', '大卫·帕",http://www.imdb.com/title/tt0272152
K歌情人,7.5,61583.0,https://movie.douban.com/subject/1937401/,2007-02-14(美国),"['休·格兰特', '德鲁·巴里摩尔', '斯科特·波特', '布拉德·加内特', '海莉·贝内特'",http://www.imdb.com/title/tt0758766
LaughingGor之变节,6.5,19270.0,https://movie.douban.com/subject/3811342/,2009-08-13 00:00:00,"['谢天华', '黄秋生', '吴镇宇', '陈法拉', '黄日华']",http://www.imdb.com/title/tt1483421
M就是凶手,8.2,14857.0,https://movie.douban.com/subject/1293381/,1931-05-11(德国),"['彼得·洛', '艾伦·维德曼', '因格·兰德特', '奥托·维尔尼克', '德国']",http://www.imdb.com/title/tt0022100
Office有鬼,6.5,21639.0,https://movie.douban.com/subject/1307807/,2002-09-06 00:00:00,"['陈小春', '冯德伦', '莫文蔚', '舒淇', '黄琛瑜']",http://www.imdb.com/title/tt0339464
OnCall36小时,7.7,15153.0,https://movie.douban.com/subject/6518753/,2012-02-13(香港),"['马国明', '杨怡', '黄智雯', '罗仲谦', '曹永廉']",
ONYOURMARKGhibli实验剧场,8.5,14365.0,https://movie.douban.com/subject/1432701/,1995-07-15(日本),"['日本', '宫崎骏', '6分48秒', 'ON YOUR MARK Ghibli实验剧场', ",http://www.imdb.com/title/tt0114038
PK.COM.CN,7.1,10275.0,https://movie.douban.com/subject/2286009/,2008-03-14(中国大陆),"['房祖名', '陈柏霖', '牛萌萌', '张博', '罗家英']",http://www.imdb.com/title/tt2936212
PRICELESS：有才怪，这样的东西！,7.6,10240.0,https://movie.douban.com/subject/11600137/,2012-10-22(日本),"['木村拓哉', '中井贵一', '香里奈', '藤谷太辅', '莲佛美沙子']",http://www.imdb.com/title/tt2334892
Q版猫和老鼠,9.2,37945.0,https://movie.douban.com/subject/2138382/,1990-09-08 00:00:00,"['Teresa Ganzel', 'Richard Gautier', 'Frank Welker",http://www.imdb.com/title/tt0198254
RunningMan,9.6,18762.0,https://movie.douban.com/subject/10509888/,2010-07-11(韩国),"['刘在石', '河东勋', '李光洙', '金钟国', '池石镇']",http://www.imdb.com/title/tt2185037
SPEC,8.8,41273.0,https://movie.douban.com/subject/4917705/,2010-10-08(日本),"['户田惠梨香', '加濑亮', '福田沙纪', '城田优', '龙雷太']",http://www.imdb.com/title/tt1712150
SPEC：天,7.6,19424.0,https://movie.douban.com/subject/6717573/,2012-04-07(日本),"['户田惠梨香', '加濑亮', '栗山千明', '福田沙纪', '神木隆之介']",http://www.imdb.com/title/tt1881045
SPEC：翔,8.5,24069.0,https://movie.douban.com/subject/6717574/,2012-04-01(日本),"['户田惠梨香', '加濑亮', '浅野优子', '谷村美月', '福田沙纪']",http://www.imdb.com/title/tt1988184
SPEC：零,7.8,12757.0,https://movie.douban.com/subject/20427168/,2013-10-23(日本),"['户田惠梨香', '加濑亮', '神木隆之介', '福田沙纪', '城田优']",http://www.imdb.com/title/tt2641868
SUMMERNUDE,6.8,11133.0,https://movie.douban.com/subject/24719090/,2013-07-08(日本),"['山下智久', '香里奈', '户田惠梨香', '胜地凉', '洼田正孝']",http://www.imdb.com/title/tt2949966
S·A特优生,7,11560.0,https://movie.douban.com/subject/3035537/,2008-04-06(日本),"['后藤邑子', '福山润', '代永翼', '生天目仁美', '日本']",http://www.imdb.com/title/tt1216196
V字仇杀队,8.8,367849.0,https://movie.douban.com/subject/1309046/,2005-12-11(BNAT电影节),"['2006-03-17(美国)', '娜塔莉·波特曼', '雨果·维文', '鲁珀特·格雷夫斯',",http://www.imdb.com/title/tt0434409
W-两个世界,8.2,72228.0,https://movie.douban.com/subject/26727298/,2016-07-20(韩国),"['李钟硕', '韩孝周', '郑幼贞', '姜其永', '金义城']",http://www.imdb.com/title/tt5797194
X战警,7.5,126956.0,https://movie.douban.com/subject/1295250/,2000-07-14(美国),"['休·杰克曼', '帕特里克·斯图尔特', '伊恩·麦克莱恩', '法米克·詹森', '詹姆斯·麦",http://www.imdb.com/title/tt0120903
X战警2,7.6,113130.0,https://movie.douban.com/subject/1305724/,2003-05-02(美国),"['2003-09-29(中国大陆)', '帕特里克·斯图尔特', '休·杰克曼', '伊恩·麦克莱",http://www.imdb.com/title/tt0290334
X战警3：背水一战,7.5,107825.0,https://movie.douban.com/subject/1401524/,2006-05-22(戛纳电影节),"['2006-05-26(美国)', '2006-09-08(中国大陆)', '休·杰克曼', '哈",http://www.imdb.com/title/tt0376994
X战警：天启,7.9,162227.0,https://movie.douban.com/subject/25786060/,2016-06-03(中国大陆),"['2016-05-09(伦敦首映)', '2016-05-27(美国)', '詹姆斯·麦卡沃伊',",http://www.imdb.com/title/tt3385516
X战警：第一战,8.1,165343.0,https://movie.douban.com/subject/3168089/,2011-05-25(纽约首映),"['2011-06-01(英国)', '2011-06-03(美国)', '詹姆斯·麦卡沃伊', '",http://www.imdb.com/title/tt1270798
X战警：逆转未来,8.2,227294.0,https://movie.douban.com/subject/10485647/,2014-05-23(美国/中国大陆),"['休·杰克曼', '詹姆斯·麦卡沃伊', '迈克尔·法斯宾德', '詹妮弗·劳伦斯', '哈莉·贝",http://www.imdb.com/title/tt1877832
X档案第一季,8.9,10385.0,https://movie.douban.com/subject/1295520/,1993-09-10(美国),"['大卫·杜楚尼', '吉莲·安德森', '米彻·佩勒吉', '汤姆·布莱德伍德', '威廉·B·戴",http://www.imdb.com/title/tt0106179
X计划,7,13888.0,https://movie.douban.com/subject/4810698/,2012-03-02(美国),"['托马斯·曼', '奥利弗·库珀', '乔纳森·丹尼尔·布朗', '可比·毕丝·布兰顿', '德克",http://www.imdb.com/title/tt1636826
一一,8.9,135012.0,https://movie.douban.com/subject/1292434/,2000-05-14(戛纳电影节),"['2000-12-16(日本)', '2009-11-06(台湾)', '吴念真', '李凯莉',",http://www.imdb.com/title/tt0244316
一个人的武林,6.2,38681.0,https://movie.douban.com/subject/24695277/,2014-10-31(中国大陆),"['甄子丹', '王宝强', '杨采妮', '白冰', '方中信']",http://www.imdb.com/title/tt2952602
一个勺子,7.7,65682.0,https://movie.douban.com/subject/25926267/,2014-11-16(金马影展),"['2015-11-20(中国大陆)', '陈建斌', '蒋勤勤', '王学兵', '金世佳']",http://www.imdb.com/title/tt3856504
一个叫欧维的男人决定去死,8.7,56881.0,https://movie.douban.com/subject/26628357/,2015-12-25(瑞典),"['罗夫·拉斯加德', '巴哈·帕斯', '托比亚斯·阿姆博瑞', '菲利普·伯格', '安娜-莱娜",http://www.imdb.com/title/tt4080728
一个头两个大,7,19197.0,https://movie.douban.com/subject/1293899/,2000-06-30 00:00:00,"['金·凯瑞', '蕾妮·泽尔维格', '安东尼·安德森', '克里斯·库珀', '理查德·詹金斯'",http://www.imdb.com/title/tt0183505
一个好人,6.8,14245.0,https://movie.douban.com/subject/1295547/,1997-01-31(香港),"['成龙', '理查德·诺顿', '李婷宜', 'Karen McLymont', '加布里埃尔·费",http://www.imdb.com/title/tt0117786
一个好爸爸,7.1,30016.0,https://movie.douban.com/subject/3005496/,2008-03-23 00:00:00,"['古天乐', '刘若英', '苗可秀', '刘一含', '莫少聪']",http://www.imdb.com/title/tt1196714
一个字头的诞生,8.3,27472.0,https://movie.douban.com/subject/1307372/,1997-03-14(香港),"['刘青云', '吴镇宇', '李若彤', '徐锦江', '张达明']",http://www.imdb.com/title/tt0120541
一个购物狂的自白,6.4,46173.0,https://movie.douban.com/subject/2338058/,2009-02-13(美国),"['艾拉·菲舍尔', '休·丹西', '克里斯滕·里特', '琼·库萨克', '约翰·古德曼']",http://www.imdb.com/title/tt1093908
一个都不能少,7.4,77064.0,https://movie.douban.com/subject/1294963/,1999-09-07(威尼斯电影节),"['魏敏芝', '张慧科', '田正达', '白玫', '中国大陆']",http://www.imdb.com/title/tt0209189
一个陌生女人的来信,7.5,81836.0,https://movie.douban.com/subject/1308799/,2005-03-04(中国大陆),"['徐静蕾', '姜文', '黄觉', '焦晃', '孙飞虎']",http://www.imdb.com/title/tt0424234
一九四二,7.3,130921.0,https://movie.douban.com/subject/6011805/,2012-11-11(罗马电影节),"['2012-11-29(中国大陆)', '张国立', '张默', '徐帆', '李雪健']",http://www.imdb.com/title/tt2113822
一仆二主,7.2,11089.0,https://movie.douban.com/subject/25188219/,2014-03-19(中国大陆),"['张嘉译', '闫妮', '江疏影', '尤勇', '姬他']",http://www.imdb.com/title/tt4771520
一代宗师,7.7,254292.0,https://movie.douban.com/subject/3821067/,2015-01-08(中国大陆 3D),"['2013-01-08(中国大陆)', '2013-01-10(香港)', '2013-08-23",http://www.imdb.com/title/tt1462900
一切尽失,7.6,10671.0,https://movie.douban.com/subject/10484601/,2013-05-22(戛纳电影节),"['2013-10-18(美国)', '罗伯特·雷德福', '美国', 'www.allislost",http://www.imdb.com/title/tt2017038
一半海水一半火焰,6.5,27314.0,https://movie.douban.com/subject/3074307/,2008-09-11(香港),"['廖凡', '莫小棋', '任达华', '林雪', '海一天']",http://www.imdb.com/title/tt1232825
一只吃不到曲奇的猪,7.6,11219.0,https://movie.douban.com/subject/5240769/,加拿大,"['Rob Silvestri', '3分55秒', '一只吃不到曲奇的猪', '动画', '短片'",http://www.imdb.com/title/tt1640160
一吻定情,8.4,77965.0,https://movie.douban.com/subject/21339675/,2013-03-29 00:00:00,"['未来穂香', '古川雄辉', '山田裕贵', '西村知美', '芋洗坂係長']",http://www.imdb.com/title/tt2772104
一吻定情2,7.2,11067.0,https://movie.douban.com/subject/25738842/,2014-09-12(先行第1集),"['2014-11-24(日本)', '未来穂香', '古川雄辉', '山田裕贵', '堀井新太']",
一场风花雪月的事,4.7,20315.0,https://movie.douban.com/subject/4237863/,2013-08-08(中国大陆),"['杨颖', '黄晓明', '在熙', '巍子', '许峻豪']",http://www.imdb.com/title/tt3136490
一声叹息,7.3,22870.0,https://movie.douban.com/subject/1305703/,张国立,"['徐帆', '刘蓓', '傅彪', '中国大陆', '冯小刚']",http://www.imdb.com/title/tt0276504
一夜大肚,6.5,21076.0,https://movie.douban.com/subject/1950198/,2007-06-01(美国),"['凯瑟琳·海格尔', '塞斯·罗根', '保罗·路德', '乔纳·希尔', '莱斯利·曼恩']",http://www.imdb.com/title/tt0478311
一夜惊喜,5.6,82752.0,https://movie.douban.com/subject/16475702/,2013-08-09(中国大陆),"['范冰冰', '李治廷', '吴佩慈', '蒋劲夫', '丹尼尔·海尼']",http://www.imdb.com/title/tt3013126
一夜迷情,7.2,32095.0,https://movie.douban.com/subject/3230165/,2011-02-16(法国),"['2011-10-14(中国大陆)', '凯拉·奈特莉', '萨姆·沃辛顿', '伊娃·门德斯',",http://www.imdb.com/title/tt1294688
一夜风流,8.6,20691.0,https://movie.douban.com/subject/1295684/,1934-02-23 00:00:00,"['克拉克·盖博', '克劳黛·考尔白', '沃尔特·康诺利', '罗斯科·卡恩茨', '詹姆森·托",http://www.imdb.com/title/tt0025316
一天,7.8,258333.0,https://movie.douban.com/subject/4191644/,2011-08-19(美国),"['安妮·海瑟薇', '吉姆·斯特吉斯', '萝玛拉·嘉瑞', '派翠西娅·克拉克森', '拉菲·斯",http://www.imdb.com/title/tt1563738
一帘幽梦,7.3,11387.0,https://movie.douban.com/subject/3060465/,1996-03-25(台湾),"['陈德容', '林瑞阳', '萧蔷', '刘德凯', '刘玉婷']",
一座城池,5.3,23175.0,https://movie.douban.com/subject/11594933/,2013-09-18(中国大陆),"['房祖名', '王太利', '黄瀞怡', '谢芳', '李长江']",
一念天堂,5.2,27380.0,https://movie.douban.com/subject/26611801/,2015-12-31(中国大陆),"['沈腾', '马丽', '杜晓宇', '林雪', '王子子']",http://www.imdb.com/title/tt5396872
一拳超人,9.2,17617.0,https://movie.douban.com/subject/26339248/,2015-10-04(日本),"['古川慎', '石川界人', '梶裕贵', '悠木碧', '中村悠一']",http://www.imdb.com/title/tt4508902
一本漫画闯天涯,6.4,11780.0,https://movie.douban.com/subject/1307456/,1990-03-22(香港),"['周星驰', '林俊贤', '柏安妮', '成奎安', '梁家仁']",http://www.imdb.com/title/tt0100983
