genres,name,rating,ratingCount,imdb_link,评价人数_更新,评分_更新,index,电影名,评分,评价人数,链接,时间,演员
Comedy,Jeff Dunham: Unhinged in Hollywood  ,6.6,291,http://www.imdb.com/title/tt5038776,34,7.3,1361,UnhingedinHollywood,(评价人数不足),,https://movie.douban.com/subject/26628581/,2015-09-17 00:00:00,"['杰夫·敦哈姆', 'Chuck Liddell', '布拉德·派斯里', '克里斯·帕内尔', "
Animation Comedy,Urara Maze Town Book             ,7.2,23,http://www.imdb.com/title/tt6473260,681,7.2,1365,urara迷路帖,(尚未上映),,https://movie.douban.com/subject/26837953/,2017-01-05 00:00:00,"['原田彩枫', '本渡枫', '久保由利香', '佳村遥', '茅野爱衣']"
Horror,XX  ,4.7,4988,http://www.imdb.com/title/tt3322892,897,5.4,1604,XX,(评价人数不足),,https://movie.douban.com/subject/26312104/,娜塔莉·布朗,"['麦克·道尔', '彼得·达莰哈', '克里斯蒂娜·科克', 'Kyle Allen', 'Pey"
,XX: utsukushiki kyôki  ,5.6,18,http://www.imdb.com/title/tt0229056,30,6.7,1605,XX(ダブルエックス)美しき凶器,(评价人数不足),,https://movie.douban.com/subject/2069628/,1993-12-22 00:00:00,"['宮崎ますみ(宮崎萬純)', '村井国夫', '草刈正雄', '日本', '小水一男']"
Documentary,Tanks of Fury  ,8.0,6,http://www.imdb.com/title/tt4193964,73,8.5,1676,《狂怒》中的坦克,(评价人数不足),,https://movie.douban.com/subject/26317705/,2014-11-09 00:00:00,"['大卫·阿耶', '布拉德·皮特', '希亚·拉博夫', '乔·博恩瑟', '迈克尔·佩纳']"
Action Family Sci-Fi,Urutoraman Makkusu             ,6.5,56,http://www.imdb.com/title/tt0493197,657,7.4,1690,ウルトラマンマックス-1.3勇士の証明,(评价人数不足),,https://movie.douban.com/subject/3060972/,2005-07-16 00:00:00,"['日本', '日语']"
Action Family Sci-Fi,Urutoraman Makkusu             ,6.5,56,http://www.imdb.com/title/tt0493197,657,7.4,1691,ウルトラマンマックス第10話少年DASH,(评价人数不足),,https://movie.douban.com/subject/3289543/,2005-09-03 00:00:00,"['青森草太', '日本', '佐藤太', '动作', '科幻']"
Action Family Sci-Fi,Urutoraman Makkusu             ,6.5,56,http://www.imdb.com/title/tt0493197,657,7.4,1692,ウルトラマンマックス第12話超音速の追撃,(评价人数不足),,https://movie.douban.com/subject/3289902/,2005-09-17 00:00:00,"['青森草太', '日本', '金子修介', '动作', '科幻']"
Action Family Sci-Fi,Urutoraman Makkusu             ,6.5,56,http://www.imdb.com/title/tt0493197,657,7.4,1693,ウルトラマンマックス第4話無限の侵略者,(评价人数不足),,https://movie.douban.com/subject/3284516/,2005-07-23 00:00:00,"['青森草太', '日本', '村石宏實', '动作', '科幻']"
Action Family Sci-Fi,Urutoraman Makkusu             ,6.5,56,http://www.imdb.com/title/tt0493197,657,7.4,1694,ウルトラマンマックス第5話出現、怪獣島,(评价人数不足),,https://movie.douban.com/subject/3285008/,2005-07-30 00:00:00,"['青森草太', '长谷部瞳', '日本', '栃原広昭', '动作']"
Action Family Sci-Fi,Urutoraman Makkusu             ,6.5,56,http://www.imdb.com/title/tt0493197,657,7.4,1695,ウルトラマンマックス第6話爆撃、5秒前!,(评价人数不足),,https://movie.douban.com/subject/3285016/,2005-08-06 00:00:00,"['青森草太', '长谷部瞳', '日本', '栃原広昭', '动作']"
Action Family Sci-Fi,Urutoraman Makkusu             ,6.5,56,http://www.imdb.com/title/tt0493197,657,7.4,1696,ウルトラマンマックス第8話DASH壊滅!?,(评价人数不足),,https://movie.douban.com/subject/3289892/,青森草太,"['日本', '梶研吾', '菊地雄一', '日语']"
Action Family Sci-Fi,Urutoraman Makkusu             ,6.5,56,http://www.imdb.com/title/tt0493197,657,7.4,1697,ウルトラマンマックス第9話龍の恋人,(评价人数不足),,https://movie.douban.com/subject/3289542/,2005-08-27 00:00:00,"['青森草太', '日本', '佐藤太', '动作', '科幻']"
Animation Comedy Drama,Sakura Quest             ,8.0,33,http://www.imdb.com/title/tt6740188,473,7.7,1703,サクラクエスト,(尚未上映),,https://movie.douban.com/subject/26930507/,2017-04,"['七濑彩夏', '上田丽奈', '安济知佳', '田中ちえ美', '小松未可子']"
Animation Action Sci-Fi,Hand Shakers             ,5.4,48,http://www.imdb.com/title/tt6401430,262,4.2,1711,ハンドシェイカー,(尚未上映),,https://movie.douban.com/subject/26754982/,2017-01,"['浅沼晋太郎', '雨宫天', '石川界人', '加隈亚衣', '茅野爱衣']"
Drama,"10,000 Miles  ",5.8,57,http://www.imdb.com/title/tt4884914,3207,4.6,1726,一万公里的约定,(评价人数不足),,https://movie.douban.com/subject/26388555/,2016-10-07(台湾),"['2017-01-06(中国大陆)', '赖雅妍', '黄远', '程予希', '王大陆']"
War,1941             ,6.8,20,http://www.imdb.com/title/tt1463390,32,6.8,1781,一九四一,(评价人数不足),,https://movie.douban.com/subject/4328208/,2009-05-04 00:00:00,"['Darya Baranova', 'Vladimir Bashkirov', 'Hilmar E"
Comedy Drama Romance,Isshuukan furenzu  ,8.0,42,http://www.imdb.com/title/tt5167966,157,6.9,1842,一周的朋友,(尚未上映),,https://movie.douban.com/subject/26646360/,2017-02-18(日本),"['川口春奈', '山崎贤人', '松尾太陽', '上杉柊平', '高桥春织']"
Crime Drama,Spotless             ,7.9,2066,http://www.imdb.com/title/tt3834000,41,7.2,1877,一尘不染,(评价人数不足),,https://movie.douban.com/subject/26347318/,2015-03-16(法国),"['马克-安德烈·格隆丁', '丹尼斯·门诺切特', '米兰达·莱森', '布兰登·柯伊尔', '杰"
Adventure Comedy Drama,A Dog's Purpose  ,6.7,31515,http://www.imdb.com/title/tt1753383,133377,7.7,1932,一条狗的使命,(尚未上映),,https://movie.douban.com/subject/6873143/,2017-01-27(美国),"['乔什·加德', '布丽特·罗伯森', '丹尼斯·奎德', '佩吉·利普顿', '朱丽叶·瑞兰斯'"
Comedy Crime,Going in Style  ,6.7,16177,http://www.imdb.com/title/tt2568862,4031,7.6,2163,三个老枪手,(尚未上映),,https://movie.douban.com/subject/26266085/,2017-04-07(美国),"['迈克尔·凯恩', '摩根·弗里曼', '艾伦·阿金', '乔伊·金', '安-玛格丽特']"
Documentary,Mifune: The Last Samurai  ,7.3,369,http://www.imdb.com/title/tt4000670,60,7.4,2271,三船敏郎：最后的武士,(评价人数不足),,https://movie.douban.com/subject/26652796/,2015-09-07(威尼斯电影节),"['2016-12-02(美国)', '三船敏郎', '香川京子', '加藤武', '黑泽久雄']"
Drama Fantasy Romance,Ancient Love Song             ,6.0,5,http://www.imdb.com/title/tt6035380,7078,3.7,2293,上古情歌,(尚未上映),,https://movie.douban.com/subject/26608231/,黄晓明,"['宋茜', '张俪', '盛一伦', '翟天临', '刘帅良']"
Drama Romance,God's Own Country  ,7.8,304,http://www.imdb.com/title/tt5635086,44,7.8,2299,上帝之国,(尚未上映),,https://movie.douban.com/subject/26781703/,2017-01(圣丹斯),"['乔什·奥康纳', '杰玛·琼斯', '伊恩·哈特', 'Alec Secareanu', '英国"
Comedy,Chotto imakara shigoto yametekuru  ,6.5,11,http://www.imdb.com/title/tt5922578,261,6.6,2456,不干了，我开除了黑心公司,(尚未上映),,https://movie.douban.com/subject/26845247/,福士苍汰,"['工藤阿须加', '黑木华', '小池荣子', '吉田钢太郎', '日本']"
Horror,A House of Mad Souls  ,1.8,42,http://www.imdb.com/title/tt1023456,35,4.3,2495,不死儿魂,(评价人数不足),,https://movie.douban.com/subject/3199532/,Byron Bishop,"['Cindy Burbridge', 'Thanawit Piyathanasirikul', '"
Adventure Drama Romance,The Space Between Us  ,6.4,21628,http://www.imdb.com/title/tt3922818,2866,6.0,2670,世界之外,(尚未上映),,https://movie.douban.com/subject/26318239/,2017-02-03(美国),"['阿萨·巴特菲尔德', '加里·奥德曼', '布丽特·罗伯森', '卡拉·古奇诺', '黄荣亮']"
Action Sci-Fi,The Guardians  ,3.9,5309,http://www.imdb.com/title/tt4600952,9275,4.0,2754,世纪战元,(尚未上映),,https://movie.douban.com/subject/26589957/,2017-09(中国大陆),"['2017-02-23(俄罗斯)', '塞巴斯蒂安·斯萨克', '艾琳娜·拉尼娜', '安东·庞布"
Action Comedy Drama,Seven Nights in Japan  ,6.6,85,http://www.imdb.com/title/tt0078236,42,7.1,2801,东京假期,(评价人数不足),,https://movie.douban.com/subject/1296465/,1977-03-31 00:00:00,"['麦克尔·约克', '青木英美', 'Peter Jones', '查尔斯·格雷', '法国']"
Comedy,Tôkyô Tarareba Musume             ,7.1,27,http://www.imdb.com/title/tt6131678,12965,7.2,2835,东京白日梦女,(尚未上映),,https://movie.douban.com/subject/26870751/,2017-01-18 00:00:00,"['吉高由里子', '荣仓奈奈', '大岛优子', '坂口健太郎', '铃木亮平']"
Documentary,China's Van Goghs  ,7.7,83,http://www.imdb.com/title/tt6013920,105,8.0,3068,中国梵高,(评价人数不足),,https://movie.douban.com/subject/26903993/,中国大陆,"['余海波', '余天琦', '中国梵高', '纪录片', '汉语普通话']"
Comedy Drama Romance,Episode #2.1             ,8.1,22,http://www.imdb.com/title/tt0543974,31,8.5,3143,临阵软脚第二季,(评价人数不足),,https://movie.douban.com/subject/24750952/,1999-09-26(英国),"['海伦·巴克森代尔', '詹姆斯·内斯比特', '赫米奥娜·诺里斯', '约翰·汤姆森', '罗伯"
Animation Adventure Comedy,Give Me Deliverance from This Judicial Injustice!             ,8.4,16,http://www.imdb.com/title/tt6380558,1226,8.3,3193,为美好的世界献上祝福！第二季,(尚未上映),,https://movie.douban.com/subject/26752113/,2017-01-11(日本),"['福岛润', '雨宫天', '高桥李依', '茅野爱衣', '原纱友里']"
Documentary,Jeong Kwan             ,8.7,162,http://www.imdb.com/title/tt6541634,600,9.2,3199,主厨的餐桌第三季,(评价人数不足),,https://movie.douban.com/subject/26924750/,美国,"['主厨的餐桌', '50分钟', '主厨的餐桌']"
Adventure Drama Romance,The Garden of Allah  ,6.0,1075,http://www.imdb.com/title/tt0027657,40,7.7,3273,乐园思凡,(评价人数不足),,https://movie.douban.com/subject/1295177/,1936-11-15(美国),"['marlene dietrich', '美国', '理查德·波列拉夫斯基', '79 分钟', "
Animation Action Adventure,The LEGO Batman Movie  ,7.4,69052,http://www.imdb.com/title/tt4116284,27504,8.1,3287,乐高大电影：蝙蝠侠,(尚未上映),,https://movie.douban.com/subject/26145033/,2017-02-10(美国),"['威尔·阿奈特', '罗莎里奥·道森', '拉尔夫·费因斯', '迈克尔·塞拉', '扎克·加利凡"
Short Comedy,Lego Batman vs. Superman  ,7.6,67,http://www.imdb.com/title/tt4955340,72,7.4,3294,乐高蝙蝠侠大战超人,(评价人数不足),,https://movie.douban.com/subject/26810800/,2014-11-19(美国),"['Chris Lovingood', 'Tommy Williamson', '美国', 'Tom"
Short Action Comedy,LEGO Batman vs. Superman 2: Dawn of Just Desserts  ,7.9,16,http://www.imdb.com/title/tt4984898,61,7.4,3295,乐高蝙蝠侠大战超人2：甜品黎明,(评价人数不足),,https://movie.douban.com/subject/26815535/,2015-08-07(美国),"['Kara Eberle', 'Kathleen Zuelch', 'Tommy Williams"
Comedy Drama Fantasy,Cheng feng po lang  ,6.5,555,http://www.imdb.com/title/tt6461514,270105,6.8,3334,乘风破浪,(尚未上映),,https://movie.douban.com/subject/26862259/,2017-01-28(中国大陆),"['邓超', '彭于晏', '赵丽颖', '董子健', '金士杰']"
Romance,"Totsuzen desuga, ashita kekkon shimasu             ",7.4,12,http://www.imdb.com/title/tt6342402,6521,6.3,3385,也许很突然，明天我要结婚了,(尚未上映),,https://movie.douban.com/subject/26933159/,2017-01-23 00:00:00,"['西内玛利亚', '山村隆太', '山崎育三郎', '日本', 'www.fujitv.co.jp"
Animation Comedy Drama,A Rover Runs Through It             ,7.6,97,http://www.imdb.com/title/tt0620193,42,8.8,3393,乡巴佬希尔一家的幸福生活第九季,(评价人数不足),,https://movie.douban.com/subject/25754342/,2004-11-07 00:00:00,"['迈克·乔吉', '凯茜·纳基麦', '帕梅拉·阿德龙', '布莱特妮·墨菲', 'Johnny "
Animation Comedy Drama,Patch Boomhauer             ,7.6,138,http://www.imdb.com/title/tt0620279,34,9.3,3396,乡巴佬希尔一家的幸福生活第八季,(评价人数不足),,https://movie.douban.com/subject/25754338/,2003-11-02 00:00:00,"['迈克·乔吉', '凯茜·纳基麦', '帕梅拉·阿德龙', '布莱特妮·墨菲', 'Johnny "
Documentary Family,Nature's Miracle Orphans: Second Chances - Part 1             ,8.4,8,http://www.imdb.com/title/tt5164450,125,9.5,3471,了不起的动物遗孤,(评价人数不足),,https://movie.douban.com/subject/26851946/,Olga Merediz,"['英国', 'Will Ridgeon, Mark Wheeler', '了不起的动物遗孤', '"
Documentary,Journey from the Center of the Sun             ,8.6,46,http://www.imdb.com/title/tt3831260,43,9.1,3483,了解宇宙是如何运行的第三季,(评价人数不足),,https://movie.douban.com/subject/26288191/,美国,"['了解宇宙是如何运行的', '60分钟', '了解宇宙是如何运行的', '纪录片', 'Disco"
Documentary,Inside World War II  ,7.5,70,http://www.imdb.com/title/tt2518158,27,7.1,3528,二次大战血泪史,(评价人数不足),,https://movie.douban.com/subject/24842234/,美国,"['45分钟', '二次大战血泪史', '历史', '英语']"
Comedy Romance,Double Wedding  ,7.1,1380,http://www.imdb.com/title/tt0028804,32,6.4,3530,二次蜜月,(评价人数不足),,https://movie.douban.com/subject/2154187/,1937-10-15 00:00:00,"['William Powell', 'Myrna Loy', '美国', 'Richard Tho"
Drama Romance,Fifty Shades Darker  ,4.6,52105,http://www.imdb.com/title/tt4465564,19168,4.8,3584,五十度黑,(尚未上映),,https://movie.douban.com/subject/26323031/,2017-02-10(美国),"['詹米·多南', '达科塔·约翰逊', '休·丹西', '泰勒·霍奇林', '马克斯·马蒂尼']"
Animation Comedy Fantasy,Demi-chan wa kataritai             ,7.4,173,http://www.imdb.com/title/tt6435350,334,7.3,3634,亚人酱有话要说,(尚未上映),,https://movie.douban.com/subject/26870745/,2017-01-07 00:00:00,"['诹访部顺一', '本渡楓', '篠田みなみ', '日笠阳子', '夏川椎菜']"
Drama Adult,As Seis Mulheres de Adão  ,5.3,53,http://www.imdb.com/title/tt0261284,36,5.8,3650,亚当的六个女人,(评价人数不足),,https://movie.douban.com/subject/5294745/,Shirley Benny,"['Luiz Carlos Braga', 'David Cardoso ... Adão', 'E"
Action Adventure Drama,King Arthur: Legend of the Sword  ,7.2,59290,http://www.imdb.com/title/tt1972591,24431,7.3,3674,亚瑟王：圣剑传奇,(尚未上映),,https://movie.douban.com/subject/25864124/,2017-05-12(美国),"['查理·汉纳姆', '裘德·洛', '凯蒂·麦格拉思', '阿斯特丽德·伯格斯-弗瑞斯贝', '艾"
Short Adventure Crime,Bandito  ,6.8,38,http://www.imdb.com/title/tt4264242,44,5.3,3680,亡命之徒,(评价人数不足),,https://movie.douban.com/subject/26785166/,C·J·瓦罗瑞,"['Nathan Varnson', 'Bill Stinchcomb', '美国', 'Evan "
Action Western,Traded  ,5.1,2034,http://www.imdb.com/title/tt5255524,26,4.5,3722,交易,(评价人数不足),,https://movie.douban.com/subject/26816037/,Kris Kristofferson,"['Trace Adkins', 'Tom Sizemore', 'Michael Paré', '"
Crime Drama Thriller,The Book of Henry  ,5.7,1048,http://www.imdb.com/title/tt4572792,73,6.8,3731,亨利之书,(尚未上映),,https://movie.douban.com/subject/26357441/,2017-06-16(美国),"['李·佩斯', '娜奥米·沃茨', '萨拉·西尔弗曼', '迪恩·诺里斯', '杰顿·李博赫']"
Drama Horror Mystery,House of Flesh Mannequins  ,3.4,219,http://www.imdb.com/title/tt1266073,36,5.9,3821,人体模特,(评价人数不足),,https://movie.douban.com/subject/3169105/,多米齐安诺·阿克安格尼,"['艾琳娜·霍夫曼', 'Giovanni Lombardo Radice', '美国', 'Dom"
Drama,Ren min de ming yi             ,7.7,132,http://www.imdb.com/title/tt6742348,165099,8.3,3873,人民的名义,(尚未上映),,https://movie.douban.com/subject/26727273/,2018(中国大陆),"['陆毅', '张丰毅', '吴刚', '中国大陆', '李路']"
Drama,"Karera ga honki de amu toki wa,  ",6.9,146,http://www.imdb.com/title/tt5633706,1820,8.4,3902,人生密密缝,(尚未上映),,https://movie.douban.com/subject/26754513/,2017-02-25(日本),"['生田斗真', '桐谷健太', '柿原凛香', '小池荣子', '田中美佐子']"
