index,电影名,评分,评价人数,链接,时间,演员,imdb_link
19,2001太空漫游,8.6,77318.0,https://movie.douban.com/subject/1292226/,1968-04-02(华盛顿首映),"['1968-05-15(英国)', '凯尔·杜拉', '加里·洛克伍德', '威廉姆·西尔维斯特'",http://www.imdb.com/title/tt0062622
20,2008年第29届北京奥运会开幕式,8.8,22847.0,https://movie.douban.com/subject/3173528/,2008-08-08(中国大陆),"['蒂姆·达格特', 'Elfi Schlegel', 'Al Trautwig', '中国大陆',",http://www.imdb.com/title/tt1522814
21,2012,7.7,264738.0,https://movie.douban.com/subject/3005875/,2009-11-13(中国大陆/美国),"['2012-11-20(中国大陆 3D)', '约翰·库萨克', '切瓦特·埃加福特', '阿曼达",http://www.imdb.com/title/tt1190080
22,2012喜上加喜,6.1,12946.0,https://movie.douban.com/subject/7161707/,2012-01-20(香港),"['2012-06-15(中国大陆)', '曾志伟', '毛舜筠', '黄宗泽', '何韵诗']",http://www.imdb.com/title/tt2317379
23,2016年中央电视台春节联欢晚会,2.3,19497.0,https://movie.douban.com/subject/26613473/,2016-02-07(中国大陆),"['朱军', '周涛', '董卿', '撒贝宁', '尼格买提·热合曼']",http://www.imdb.com/title/tt5442712
24,203040,7.2,41913.0,https://movie.douban.com/subject/1310174/,2004-03-11 00:00:00,"['张艾嘉', '刘若英', '李心洁', '梁家辉', '黄秋生']",http://www.imdb.com/title/tt0397229
25,2046,7.4,111799.0,https://movie.douban.com/subject/1291555/,2004-05-20(戛纳电影节),"['2004-09-28(中国大陆)', '2004-09-29(香港)', '梁朝伟', '章子怡",http://www.imdb.com/title/tt0212712
26,24小时第一季,8.7,20405.0,https://movie.douban.com/subject/1298854/,2001-11-06(美国),"['基弗·萨瑟兰', '卡洛斯·博纳德', '伊丽莎·库斯伯特', '丹尼斯·海斯伯特', '莱斯利",http://www.imdb.com/title/tt0285331
27,27套礼服,6.7,55247.0,https://movie.douban.com/subject/2132120/,2008-01-18(美国),"['凯瑟琳·海格尔', '詹姆斯·麦斯登', '爱德华·伯恩斯', '玛琳·阿克曼', '朱迪·格雷",http://www.imdb.com/title/tt0988595
28,28岁未成年,6.0,12756.0,https://movie.douban.com/subject/26658568/,2016-12-09(中国大陆),"['倪妮', '霍建华', '马苏', '王大陆', '潘斌龙']",http://www.imdb.com/title/tt5665040
29,300勇士：帝国崛起,6.1,24916.0,https://movie.douban.com/subject/3148089/,2014-03-05(阿根廷首映),"['2014-03-07(美国)', '沙利文·斯特普尔顿', '罗德里格·桑托罗', '伊娃·格林",http://www.imdb.com/title/tt1253863
30,42号传奇,7.9,10411.0,https://movie.douban.com/subject/2133379/,2013-04-12(美国),"['哈里森·福特', '艾伦·图代克', '克里斯托弗·米洛尼', '约翰·C·麦金雷', '卢卡斯",http://www.imdb.com/title/tt0453562
31,45周年,7.7,19180.0,https://movie.douban.com/subject/25839662/,2015-02-06(柏林电影节),"['2015-08-28(英国)', '夏洛特·兰普林', '多莉·韦尔斯', '汤姆·康特奈', ",http://www.imdb.com/title/tt3544082
32,49日,8.1,18950.0,https://movie.douban.com/subject/5908482/,2011-03-16(韩国),"['丁一宇', '南奎丽', '赵显宰', '李瑶媛', '裴秀彬']",http://www.imdb.com/title/tt1935066
33,5月天诺亚方舟,8.2,16031.0,https://movie.douban.com/subject/24891524/,2013-09-19(中国大陆),"['陈信宏', '刘冠佑', '言承旭', '林依晨', '林晖闵']",http://www.imdb.com/title/tt3263052
34,72家租客,6.7,62706.0,https://movie.douban.com/subject/4062922/,2010-02-11 00:00:00,"['张学友', '曾志伟', '袁咏仪', '黄宗泽', '邓丽欣']",http://www.imdb.com/title/tt1602474
35,7号房的礼物,8.6,141486.0,https://movie.douban.com/subject/10777687/,2013-01-23(韩国),"['柳承龙', '朴信惠', '郑镇荣', '金正泰', '吴达洙']",http://www.imdb.com/title/tt2659414
36,80'后,7.0,64023.0,https://movie.douban.com/subject/4036000/,2010-06-25 00:00:00,"['刘冬', '黄明', '伊娜', '陶帅', '铁政']",http://www.imdb.com/title/tt1538533
37,88分钟,6.5,14417.0,https://movie.douban.com/subject/1754927/,2007-03-01(以色列),"['2007-04-13(罗马尼亚)', '2007-05-30(法国)', '阿尔·帕西诺', '",http://www.imdb.com/title/tt0411061
38,8英里,8.0,39317.0,https://movie.douban.com/subject/1307853/,2002-11-08(美国),"['埃米纳姆', '金·贝辛格', '梅奇·费法', '布莱特妮·墨菲', '伊万·琼斯']",http://www.imdb.com/title/tt0298203
39,92黑玫瑰对黑玫瑰,7.4,12452.0,https://movie.douban.com/subject/1299135/,1992-07-02 00:00:00,"['梁家辉', '邵美琪', '毛舜筠', '冯宝宝', '黄韵诗']",http://www.imdb.com/title/tt0103602
40,93航班,7.7,17407.0,https://movie.douban.com/subject/1588945/,2006-04-28(美国),"['J.J. Johnson', 'Gary Commock', 'Polly Adams', 'O",http://www.imdb.com/title/tt0475276
41,97古惑仔战无不胜,7.4,32305.0,https://movie.douban.com/subject/1293265/,1997-03-28 00:00:00,"['郑伊健', '陈小春', '李嘉欣', '莫文蔚', '万梓良']",http://www.imdb.com/title/tt0128907
42,97家有喜事,7.4,39243.0,https://movie.douban.com/subject/1305197/,1997-02-06(香港),"['周星驰', '黄百鸣', '吴镇宇', '乔宏', '伍咏薇']",http://www.imdb.com/title/tt0118591
43,98古惑仔之龙争虎斗,7.2,27326.0,https://movie.douban.com/subject/1308290/,1998-01-22(香港),"['郑伊健', '舒淇', '郑浩南', '钱嘉乐', '秦沛']",http://www.imdb.com/title/tt0163511
44,99.9：刑事专业律师,7.9,11002.0,https://movie.douban.com/subject/26725184/,2016-04-17(日本),"['松本润', '香川照之', '荣仓奈奈', '青木崇高', '片桐仁']",http://www.imdb.com/title/tt5487318
45,9号秘事第一季,8.8,26339.0,https://movie.douban.com/subject/20452350/,2014-02-05(英国),"['里斯·谢尔史密斯', '史蒂夫·佩姆伯顿', '露西·卡瓦利耶罗', '艾咪费欧‧爱德华兹', ",http://www.imdb.com/title/tt2674806
46,9号秘事第二季,8.8,12002.0,https://movie.douban.com/subject/26341777/,2015-03-26(英国),"['马克·本顿', '杰克·怀特霍尔', '史蒂夫·佩姆伯顿', '里斯·谢尔史密斯', '吉姆·霍",http://www.imdb.com/title/tt4513394
47,A计划,7.6,50562.0,https://movie.douban.com/subject/1297909/,1983-12-22(香港),"['成龙', '洪金宝', '元彪', '黄曼凝', '狄威']",http://www.imdb.com/title/tt0085127
48,A计划续集,7.4,25303.0,https://movie.douban.com/subject/1299120/,1987-07-25(日本),"['1987-08-19(香港)', '成龙', '张曼玉', '关之琳', '刘嘉玲']",http://www.imdb.com/title/tt0092501
49,B+侦探,5.7,23804.0,https://movie.douban.com/subject/4118060/,2011-04-29(中国大陆),"['郭富城', '廖启智', '徐正曦', '龚蓓苾', '张兆辉']",http://www.imdb.com/title/tt1534786
50,BJ单身日记,7.5,122956.0,https://movie.douban.com/subject/1304585/,2001-04-04(英国),"['蕾妮·泽尔维格', '科林·费尔斯', '休·格兰特', '吉姆·布劳德本特', '雪莉·亨德森",http://www.imdb.com/title/tt0243155
51,BJ单身日记2：理性边缘,7.3,58707.0,https://movie.douban.com/subject/1308819/,2004-11-12(美国),"['蕾妮·泽尔维格', '科林·费尔斯', '休·格兰特', '吉姆·布劳德本特', '杰茜达·芭瑞",http://www.imdb.com/title/tt0317198
52,BORDER,8.4,13615.0,https://movie.douban.com/subject/25823110/,2014-04-10(日本),"['小栗旬', '青木崇高', '波瑠', '远藤宪一', '古田新太']",http://www.imdb.com/title/tt3512088
53,B型男友,6.2,14009.0,https://movie.douban.com/subject/1394520/,2005-02-03(韩国),"['李东健', '韩智慧', '申伊', '白日燮', '郑丽媛']",http://www.imdb.com/title/tt0452972
54,C+侦探,6.5,19958.0,https://movie.douban.com/subject/2263112/,2007-09-25(香港),"['郭富城', '廖启智', '黄德斌', '刘兆铭', '黎耀祥']",http://www.imdb.com/title/tt1107807
55,Doctor异乡人,7.2,28511.0,https://movie.douban.com/subject/25792670/,2014-05-05(韩国),"['李钟硕', '陈世妍', '朴海镇', '姜素拉', '张亮']",http://www.imdb.com/title/tt3693414
56,Dr.伦太郎,7.7,16348.0,https://movie.douban.com/subject/26314383/,2015-04-15(日本),"['堺雅人', '苍井优', '吉濑美智子', '内田有纪', '高梨临']",http://www.imdb.com/title/tt4402162
57,E.T.外星人,8.5,133598.0,https://movie.douban.com/subject/1294638/,1982-06-11(美国),"['1982-05-26(戛纳电影节)', '亨利·托马斯', '迪·沃伦斯', '罗伯特·麦克纳夫",http://www.imdb.com/title/tt0083866
58,FirstClass,6.5,19836.0,https://movie.douban.com/subject/25842009/,2014-04-19(日本),"['泽尻英龙华', '中丸雄一', '佐佐木希', '菜菜绪', '平山浩行']",http://www.imdb.com/title/tt3585276
59,Free!,7.7,13105.0,https://movie.douban.com/subject/24381366/,2013-07-04(日本),"['岛崎信长', '铃木达央', '平川大辅', '宫野真守', '代永翼']",http://www.imdb.com/title/tt2904418
60,GO!大暴走,8.2,13283.0,https://movie.douban.com/subject/1307176/,2001-10-20(日本),"['洼冢洋介', '柴崎幸', '细山田隆人', '山本太郎', '新井浩文']",http://www.imdb.com/title/tt0299937
61,Hello！树先生,7.1,40852.0,https://movie.douban.com/subject/4135710/,2011-11-04(中国大陆),"['王宝强', '谭卓', '何洁', '中国大陆', '韩杰']",http://www.imdb.com/title/tt2043878
62,HOLD住爱,3.4,16383.0,https://movie.douban.com/subject/10539139/,2012-08-23(中国大陆),"['杨幂', '刘恺威', '周秀娜', '王景春', '吴岱融']",http://www.imdb.com/title/tt2457206
63,IRIS,8.0,16894.0,https://movie.douban.com/subject/3619100/,2009-10-14 00:00:00,"['李秉宪', '金泰熙', '崔胜铉', '金素妍', '郑俊浩']",http://www.imdb.com/title/tt1757202
64,IT狂人特别篇,9.2,14417.0,https://movie.douban.com/subject/20453087/,2013-09-27(英国),"['克里斯·奥多德', '理查德·艾欧阿德', '凯瑟琳·帕金森', '英国', '格雷厄姆·莱恩汉",http://www.imdb.com/title/tt3221116
65,IT狂人第一季,8.9,47040.0,https://movie.douban.com/subject/1758810/,2006-02-03(英国),"['克里斯·奥多德', '理查德·艾欧阿德', '凯瑟琳·帕金森', '克里斯多夫·莫利斯', '英",http://www.imdb.com/title/tt0487831
66,IT狂人第三季,9.3,25012.0,https://movie.douban.com/subject/3345619/,2008-11-21(英国),"['克里斯·奥多德', '理查德·艾欧阿德', '凯瑟琳·帕金森', '马特·贝里', '英国']",http://www.imdb.com/title/tt1321272
67,IT狂人第二季,9.3,29364.0,https://movie.douban.com/subject/3570688/,2007-08-24(英国),"['克里斯·奥多德', '理查德·艾欧阿德', '凯瑟琳·帕金森', '英国', 'www.chan",http://www.imdb.com/title/tt0849997
68,IT狂人第四季,9.3,24863.0,https://movie.douban.com/subject/4850563/,2010-06-25(英国),"['克里斯·奥多德', '理查德·艾欧阿德', '凯瑟琳·帕金森', '英国', 'www.chan",http://www.imdb.com/title/tt1650327
69,I型起源,7.6,15362.0,https://movie.douban.com/subject/24696982/,2014-01-18(圣丹斯电影节),"['迈克尔·皮特', '史蒂文·连', '阿斯特丽德·伯格斯-弗瑞斯贝', '布里特·马灵', 'D",http://www.imdb.com/title/tt2884206
70,K,7.4,16873.0,https://movie.douban.com/subject/10545923/,2012-10-05 (日本),"['浪川大辅', '杉田智和', '福山润', '宫野真守', '津田健次郎']",http://www.imdb.com/title/tt2377452
71,K星异客,8.5,46262.0,https://movie.douban.com/subject/1306607/,2001-10-26(美国),"['凯文·史派西', '杰夫·布里吉斯', '玛丽·麦克科马克', '阿尔法·伍达德', '大卫·帕",http://www.imdb.com/title/tt0272152
72,K歌情人,7.5,61583.0,https://movie.douban.com/subject/1937401/,2007-02-14(美国),"['休·格兰特', '德鲁·巴里摩尔', '斯科特·波特', '布拉德·加内特', '海莉·贝内特'",http://www.imdb.com/title/tt0758766
73,LaughingGor之变节,6.5,19270.0,https://movie.douban.com/subject/3811342/,2009-08-13 00:00:00,"['谢天华', '黄秋生', '吴镇宇', '陈法拉', '黄日华']",http://www.imdb.com/title/tt1483421
74,M就是凶手,8.2,14857.0,https://movie.douban.com/subject/1293381/,1931-05-11(德国),"['彼得·洛', '艾伦·维德曼', '因格·兰德特', '奥托·维尔尼克', '德国']",http://www.imdb.com/title/tt0022100
75,Office有鬼,6.5,21639.0,https://movie.douban.com/subject/1307807/,2002-09-06 00:00:00,"['陈小春', '冯德伦', '莫文蔚', '舒淇', '黄琛瑜']",http://www.imdb.com/title/tt0339464
76,OnCall36小时,7.7,15153.0,https://movie.douban.com/subject/6518753/,2012-02-13(香港),"['马国明', '杨怡', '黄智雯', '罗仲谦', '曹永廉']",
77,ONYOURMARKGhibli实验剧场,8.5,14365.0,https://movie.douban.com/subject/1432701/,1995-07-15(日本),"['日本', '宫崎骏', '6分48秒', 'ON YOUR MARK Ghibli实验剧场', ",http://www.imdb.com/title/tt0114038
78,PK.COM.CN,7.1,10275.0,https://movie.douban.com/subject/2286009/,2008-03-14(中国大陆),"['房祖名', '陈柏霖', '牛萌萌', '张博', '罗家英']",http://www.imdb.com/title/tt2936212
79,PRICELESS：有才怪，这样的东西！,7.6,10240.0,https://movie.douban.com/subject/11600137/,2012-10-22(日本),"['木村拓哉', '中井贵一', '香里奈', '藤谷太辅', '莲佛美沙子']",http://www.imdb.com/title/tt2334892
80,Q版猫和老鼠,9.2,37945.0,https://movie.douban.com/subject/2138382/,1990-09-08 00:00:00,"['Teresa Ganzel', 'Richard Gautier', 'Frank Welker",http://www.imdb.com/title/tt0198254
81,RunningMan,9.6,18762.0,https://movie.douban.com/subject/10509888/,2010-07-11(韩国),"['刘在石', '河东勋', '李光洙', '金钟国', '池石镇']",http://www.imdb.com/title/tt2185037
82,SPEC,8.8,41273.0,https://movie.douban.com/subject/4917705/,2010-10-08(日本),"['户田惠梨香', '加濑亮', '福田沙纪', '城田优', '龙雷太']",http://www.imdb.com/title/tt1712150
83,SPEC：天,7.6,19424.0,https://movie.douban.com/subject/6717573/,2012-04-07(日本),"['户田惠梨香', '加濑亮', '栗山千明', '福田沙纪', '神木隆之介']",http://www.imdb.com/title/tt1881045
84,SPEC：翔,8.5,24069.0,https://movie.douban.com/subject/6717574/,2012-04-01(日本),"['户田惠梨香', '加濑亮', '浅野优子', '谷村美月', '福田沙纪']",http://www.imdb.com/title/tt1988184
85,SPEC：零,7.8,12757.0,https://movie.douban.com/subject/20427168/,2013-10-23(日本),"['户田惠梨香', '加濑亮', '神木隆之介', '福田沙纪', '城田优']",http://www.imdb.com/title/tt2641868
86,SUMMERNUDE,6.8,11133.0,https://movie.douban.com/subject/24719090/,2013-07-08(日本),"['山下智久', '香里奈', '户田惠梨香', '胜地凉', '洼田正孝']",http://www.imdb.com/title/tt2949966
87,S·A特优生,7.0,11560.0,https://movie.douban.com/subject/3035537/,2008-04-06(日本),"['后藤邑子', '福山润', '代永翼', '生天目仁美', '日本']",http://www.imdb.com/title/tt1216196
88,V字仇杀队,8.8,367849.0,https://movie.douban.com/subject/1309046/,2005-12-11(BNAT电影节),"['2006-03-17(美国)', '娜塔莉·波特曼', '雨果·维文', '鲁珀特·格雷夫斯',",http://www.imdb.com/title/tt0434409
89,W-两个世界,8.2,72228.0,https://movie.douban.com/subject/26727298/,2016-07-20(韩国),"['李钟硕', '韩孝周', '郑幼贞', '姜其永', '金义城']",http://www.imdb.com/title/tt5797194
90,X战警,7.5,126956.0,https://movie.douban.com/subject/1295250/,2000-07-14(美国),"['休·杰克曼', '帕特里克·斯图尔特', '伊恩·麦克莱恩', '法米克·詹森', '詹姆斯·麦",http://www.imdb.com/title/tt0120903
91,X战警2,7.6,113130.0,https://movie.douban.com/subject/1305724/,2003-05-02(美国),"['2003-09-29(中国大陆)', '帕特里克·斯图尔特', '休·杰克曼', '伊恩·麦克莱",http://www.imdb.com/title/tt0290334
92,X战警3：背水一战,7.5,107825.0,https://movie.douban.com/subject/1401524/,2006-05-22(戛纳电影节),"['2006-05-26(美国)', '2006-09-08(中国大陆)', '休·杰克曼', '哈",http://www.imdb.com/title/tt0376994
93,X战警：天启,7.9,162227.0,https://movie.douban.com/subject/25786060/,2016-06-03(中国大陆),"['2016-05-09(伦敦首映)', '2016-05-27(美国)', '詹姆斯·麦卡沃伊',",http://www.imdb.com/title/tt3385516
94,X战警：第一战,8.1,165343.0,https://movie.douban.com/subject/3168089/,2011-05-25(纽约首映),"['2011-06-01(英国)', '2011-06-03(美国)', '詹姆斯·麦卡沃伊', '",http://www.imdb.com/title/tt1270798
95,X战警：逆转未来,8.2,227294.0,https://movie.douban.com/subject/10485647/,2014-05-23(美国/中国大陆),"['休·杰克曼', '詹姆斯·麦卡沃伊', '迈克尔·法斯宾德', '詹妮弗·劳伦斯', '哈莉·贝",http://www.imdb.com/title/tt1877832
96,X档案第一季,8.9,10385.0,https://movie.douban.com/subject/1295520/,1993-09-10(美国),"['大卫·杜楚尼', '吉莲·安德森', '米彻·佩勒吉', '汤姆·布莱德伍德', '威廉·B·戴",http://www.imdb.com/title/tt0106179
97,X计划,7.0,13888.0,https://movie.douban.com/subject/4810698/,2012-03-02(美国),"['托马斯·曼', '奥利弗·库珀', '乔纳森·丹尼尔·布朗', '可比·毕丝·布兰顿', '德克",http://www.imdb.com/title/tt1636826
98,一一,8.9,135012.0,https://movie.douban.com/subject/1292434/,2000-05-14(戛纳电影节),"['2000-12-16(日本)', '2009-11-06(台湾)', '吴念真', '李凯莉',",http://www.imdb.com/title/tt0244316
99,一个人的武林,6.2,38681.0,https://movie.douban.com/subject/24695277/,2014-10-31(中国大陆),"['甄子丹', '王宝强', '杨采妮', '白冰', '方中信']",http://www.imdb.com/title/tt2952602
100,一个勺子,7.7,65682.0,https://movie.douban.com/subject/25926267/,2014-11-16(金马影展),"['2015-11-20(中国大陆)', '陈建斌', '蒋勤勤', '王学兵', '金世佳']",http://www.imdb.com/title/tt3856504
101,一个叫欧维的男人决定去死,8.7,56881.0,https://movie.douban.com/subject/26628357/,2015-12-25(瑞典),"['罗夫·拉斯加德', '巴哈·帕斯', '托比亚斯·阿姆博瑞', '菲利普·伯格', '安娜-莱娜",http://www.imdb.com/title/tt4080728
102,一个头两个大,7.0,19197.0,https://movie.douban.com/subject/1293899/,2000-06-30 00:00:00,"['金·凯瑞', '蕾妮·泽尔维格', '安东尼·安德森', '克里斯·库珀', '理查德·詹金斯'",http://www.imdb.com/title/tt0183505
103,一个好人,6.8,14245.0,https://movie.douban.com/subject/1295547/,1997-01-31(香港),"['成龙', '理查德·诺顿', '李婷宜', 'Karen McLymont', '加布里埃尔·费",http://www.imdb.com/title/tt0117786
104,一个好爸爸,7.1,30016.0,https://movie.douban.com/subject/3005496/,2008-03-23 00:00:00,"['古天乐', '刘若英', '苗可秀', '刘一含', '莫少聪']",http://www.imdb.com/title/tt1196714
105,一个字头的诞生,8.3,27472.0,https://movie.douban.com/subject/1307372/,1997-03-14(香港),"['刘青云', '吴镇宇', '李若彤', '徐锦江', '张达明']",http://www.imdb.com/title/tt0120541
106,一个购物狂的自白,6.4,46173.0,https://movie.douban.com/subject/2338058/,2009-02-13(美国),"['艾拉·菲舍尔', '休·丹西', '克里斯滕·里特', '琼·库萨克', '约翰·古德曼']",http://www.imdb.com/title/tt1093908
107,一个都不能少,7.4,77064.0,https://movie.douban.com/subject/1294963/,1999-09-07(威尼斯电影节),"['魏敏芝', '张慧科', '田正达', '白玫', '中国大陆']",http://www.imdb.com/title/tt0209189
108,一个陌生女人的来信,7.5,81836.0,https://movie.douban.com/subject/1308799/,2005-03-04(中国大陆),"['徐静蕾', '姜文', '黄觉', '焦晃', '孙飞虎']",http://www.imdb.com/title/tt0424234
109,一九四二,7.3,130921.0,https://movie.douban.com/subject/6011805/,2012-11-11(罗马电影节),"['2012-11-29(中国大陆)', '张国立', '张默', '徐帆', '李雪健']",http://www.imdb.com/title/tt2113822
110,一仆二主,7.2,11089.0,https://movie.douban.com/subject/25188219/,2014-03-19(中国大陆),"['张嘉译', '闫妮', '江疏影', '尤勇', '姬他']",http://www.imdb.com/title/tt4771520
111,一代宗师,7.7,254292.0,https://movie.douban.com/subject/3821067/,2015-01-08(中国大陆 3D),"['2013-01-08(中国大陆)', '2013-01-10(香港)', '2013-08-23",http://www.imdb.com/title/tt1462900
112,一切尽失,7.6,10671.0,https://movie.douban.com/subject/10484601/,2013-05-22(戛纳电影节),"['2013-10-18(美国)', '罗伯特·雷德福', '美国', 'www.allislost",http://www.imdb.com/title/tt2017038
113,一半海水一半火焰,6.5,27314.0,https://movie.douban.com/subject/3074307/,2008-09-11(香港),"['廖凡', '莫小棋', '任达华', '林雪', '海一天']",http://www.imdb.com/title/tt1232825
114,一只吃不到曲奇的猪,7.6,11219.0,https://movie.douban.com/subject/5240769/,加拿大,"['Rob Silvestri', '3分55秒', '一只吃不到曲奇的猪', '动画', '短片'",http://www.imdb.com/title/tt1640160
115,一吻定情,8.4,77965.0,https://movie.douban.com/subject/21339675/,2013-03-29 00:00:00,"['未来穂香', '古川雄辉', '山田裕贵', '西村知美', '芋洗坂係長']",http://www.imdb.com/title/tt2772104
116,一吻定情2,7.2,11067.0,https://movie.douban.com/subject/25738842/,2014-09-12(先行第1集),"['2014-11-24(日本)', '未来穂香', '古川雄辉', '山田裕贵', '堀井新太']",
117,一场风花雪月的事,4.7,20315.0,https://movie.douban.com/subject/4237863/,2013-08-08(中国大陆),"['杨颖', '黄晓明', '在熙', '巍子', '许峻豪']",http://www.imdb.com/title/tt3136490
118,一声叹息,7.3,22870.0,https://movie.douban.com/subject/1305703/,张国立,"['徐帆', '刘蓓', '傅彪', '中国大陆', '冯小刚']",http://www.imdb.com/title/tt0276504
119,一夜大肚,6.5,21076.0,https://movie.douban.com/subject/1950198/,2007-06-01(美国),"['凯瑟琳·海格尔', '塞斯·罗根', '保罗·路德', '乔纳·希尔', '莱斯利·曼恩']",http://www.imdb.com/title/tt0478311
120,一夜惊喜,5.6,82752.0,https://movie.douban.com/subject/16475702/,2013-08-09(中国大陆),"['范冰冰', '李治廷', '吴佩慈', '蒋劲夫', '丹尼尔·海尼']",http://www.imdb.com/title/tt3013126
121,一夜迷情,7.2,32095.0,https://movie.douban.com/subject/3230165/,2011-02-16(法国),"['2011-10-14(中国大陆)', '凯拉·奈特莉', '萨姆·沃辛顿', '伊娃·门德斯',",http://www.imdb.com/title/tt1294688
122,一夜风流,8.6,20691.0,https://movie.douban.com/subject/1295684/,1934-02-23 00:00:00,"['克拉克·盖博', '克劳黛·考尔白', '沃尔特·康诺利', '罗斯科·卡恩茨', '詹姆森·托",http://www.imdb.com/title/tt0025316
123,一天,7.8,258333.0,https://movie.douban.com/subject/4191644/,2011-08-19(美国),"['安妮·海瑟薇', '吉姆·斯特吉斯', '萝玛拉·嘉瑞', '派翠西娅·克拉克森', '拉菲·斯",http://www.imdb.com/title/tt1563738
124,一帘幽梦,7.3,11387.0,https://movie.douban.com/subject/3060465/,1996-03-25(台湾),"['陈德容', '林瑞阳', '萧蔷', '刘德凯', '刘玉婷']",
125,一座城池,5.3,23175.0,https://movie.douban.com/subject/11594933/,2013-09-18(中国大陆),"['房祖名', '王太利', '黄瀞怡', '谢芳', '李长江']",
126,一念天堂,5.2,27380.0,https://movie.douban.com/subject/26611801/,2015-12-31(中国大陆),"['沈腾', '马丽', '杜晓宇', '林雪', '王子子']",http://www.imdb.com/title/tt5396872
