genres,name,rating,ratingCount,index,电影名,评分,评价人数,链接,时间,演员,imdb_link
Adventure Comedy Crime,101 Dalmatians (1996) ,5.6,"80,649",10,101真狗,7.3,67887.0,https://movie.douban.com/subject/1293135/,1996-11-27(美国),"['格伦·克洛斯', '杰夫·丹尼尔斯', '乔莉·理查德森', '琼·普莱怀特', '休·劳瑞']",http://www.imdb.com/title/tt0115433
Comedy Crime Drama,11:14 (2003) ,7.2,"39,607",11,0.4680555555555555,7.6,22718.0,https://movie.douban.com/subject/1394825/,2003-05-16(戛纳电影节),"['亨利·托马斯', '布莱克·赫伦', '芭芭拉·赫希', '克拉克·格雷格', '希拉里·斯万克",http://www.imdb.com/title/tt0331811
Adventure Biography Drama,127 Hours (2010) ,7.6,"296,267",14,127小时,8.1,83371.0,https://movie.douban.com/subject/4164444/,2010-11-05(美国),"['詹姆斯·弗兰科', '丽兹·卡潘', '凯特·玛拉', '爱波·塔布琳', '克蕾曼丝·波西']",http://www.imdb.com/title/tt1542344
Crime Drama Thriller,12 (2007) ,7.8,"12,218",15,12怒汉：大审判,8.5,22384.0,https://movie.douban.com/subject/2027899/,2007-09-20(俄罗斯),"['谢尔盖·马科韦茨基', '尼基塔·米哈尔科夫', '谢尔盖·加尔马什', '瓦连京·佳夫特', ",http://www.imdb.com/title/tt0488478
Comedy,12 gam ngap (2015) ,4.9,215,16,12金鸭,5.2,13795.0,https://movie.douban.com/subject/26271893/,2015-02-19(香港),"['吴君如', '古天乐', '刘浩龙', '黄秋生', '周柏豪 ']",http://www.imdb.com/title/tt4409852
Animation Comedy Drama,Ani*Kuri15             ,7.0,267,17,15名动画人,8.7,19151.0,https://movie.douban.com/subject/3240828/,2007-05-07(日本),"['寺崎裕香', '中川玲', '前田剛', '日本', 'www.nhk.or.jp/ani-ku",http://www.imdb.com/title/tt2171086
Drama Romance,Ichi rittoru no namida             ,8.9,"1,337",18,1公升的泪,8.9,64887.0,https://movie.douban.com/subject/1436900/,2005-10-11(日本),"['泽尻英龙华', '锦户亮', '药师丸博子', '藤木直人', '阵内孝则']",http://www.imdb.com/title/tt1370332
Adventure Sci-Fi,2001: A Space Odyssey (1968) ,8.3,"466,275",19,2001太空漫游,8.6,77318.0,https://movie.douban.com/subject/1292226/,1968-04-02(华盛顿首映),"['1968-05-15(英国)', '凯尔·杜拉', '加里·洛克伍德', '威廉姆·西尔维斯特'",http://www.imdb.com/title/tt0062622
Sport,Beijing 2008 Olympics Games Opening Ceremony (2008) ,8.4,766,20,2008年第29届北京奥运会开幕式,8.8,22847.0,https://movie.douban.com/subject/3173528/,2008-08-08(中国大陆),"['蒂姆·达格特', 'Elfi Schlegel', 'Al Trautwig', '中国大陆',",http://www.imdb.com/title/tt1522814
Action Adventure Sci-Fi,2012 (2009) ,5.8,"300,486",21,2012,7.7,264738.0,https://movie.douban.com/subject/3005875/,2009-11-13(中国大陆/美国),"['2012-11-20(中国大陆 3D)', '约翰·库萨克', '切瓦特·埃加福特', '阿曼达",http://www.imdb.com/title/tt1190080
Comedy,Wo ai Xiang Gang: xi shang jia xi (2012) ,4.9,142,22,2012喜上加喜,6.1,12946.0,https://movie.douban.com/subject/7161707/,2012-01-20(香港),"['2012-06-15(中国大陆)', '曾志伟', '毛舜筠', '黄宗泽', '何韵诗']",http://www.imdb.com/title/tt2317379
Comedy Drama Game-Show,2016 Nian zhong yang dian shi tai chun jie lian huan wan hui (2016) ,1.6,23,23,2016年中央电视台春节联欢晚会,2.3,19497.0,https://movie.douban.com/subject/26613473/,2016-02-07(中国大陆),"['朱军', '周涛', '董卿', '撒贝宁', '尼格买提·热合曼']",http://www.imdb.com/title/tt5442712
Comedy Drama Music,20 30 40 (2004) ,6.7,"1,118",24,203040,7.2,41913.0,https://movie.douban.com/subject/1310174/,2004-03-11 00:00:00,"['张艾嘉', '刘若英', '李心洁', '梁家辉', '黄秋生']",http://www.imdb.com/title/tt0397229
Drama Romance Sci-Fi,2046 (2004) ,7.5,"43,612",25,2046,7.4,111799.0,https://movie.douban.com/subject/1291555/,2004-05-20(戛纳电影节),"['2004-09-28(中国大陆)', '2004-09-29(香港)', '梁朝伟', '章子怡",http://www.imdb.com/title/tt0212712
Action Crime Drama,24             ,8.4,"154,901",26,24小时第一季,8.7,20405.0,https://movie.douban.com/subject/1298854/,2001-11-06(美国),"['基弗·萨瑟兰', '卡洛斯·博纳德', '伊丽莎·库斯伯特', '丹尼斯·海斯伯特', '莱斯利",http://www.imdb.com/title/tt0285331
Comedy Romance,27 Dresses (2008) ,6.1,"131,849",27,27套礼服,6.7,55247.0,https://movie.douban.com/subject/2132120/,2008-01-18(美国),"['凯瑟琳·海格尔', '詹姆斯·麦斯登', '爱德华·伯恩斯', '玛琳·阿克曼', '朱迪·格雷",http://www.imdb.com/title/tt0988595
Fantasy Romance,28 Suì Wèi Chéngnián (2016) ,6.3,266,28,28岁未成年,6.0,12756.0,https://movie.douban.com/subject/26658568/,2016-12-09(中国大陆),"['倪妮', '霍建华', '马苏', '王大陆', '潘斌龙']",http://www.imdb.com/title/tt5665040
Action Fantasy,300: Rise of an Empire (2014) ,6.2,"240,091",29,300勇士：帝国崛起,6.1,24916.0,https://movie.douban.com/subject/3148089/,2014-03-05(阿根廷首映),"['2014-03-07(美国)', '沙利文·斯特普尔顿', '罗德里格·桑托罗', '伊娃·格林",http://www.imdb.com/title/tt1253863
Biography Drama Sport,42 (2013) ,7.5,"70,241",30,42号传奇,7.9,10411.0,https://movie.douban.com/subject/2133379/,2013-04-12(美国),"['哈里森·福特', '艾伦·图代克', '克里斯托弗·米洛尼', '约翰·C·麦金雷', '卢卡斯",http://www.imdb.com/title/tt0453562
Drama Romance,45 Years (2015) ,7.1,"23,277",31,45周年,7.7,19180.0,https://movie.douban.com/subject/25839662/,2015-02-06(柏林电影节),"['2015-08-28(英国)', '夏洛特·兰普林', '多莉·韦尔斯', '汤姆·康特奈', ",http://www.imdb.com/title/tt3544082
Drama,49 Il             ,8.2,694,32,49日,8.1,18950.0,https://movie.douban.com/subject/5908482/,2011-03-16(韩国),"['丁一宇', '南奎丽', '赵显宰', '李瑶媛', '裴秀彬']",http://www.imdb.com/title/tt1935066
Music,Mayday Nowhere 3D (2013) ,7.4,14,33,5月天诺亚方舟,8.2,16031.0,https://movie.douban.com/subject/24891524/,2013-09-19(中国大陆),"['陈信宏', '刘冠佑', '言承旭', '林依晨', '林晖闵']",http://www.imdb.com/title/tt3263052
Comedy,72 ga cho hak (2010) ,5.7,376,34,72家租客,6.7,62706.0,https://movie.douban.com/subject/4062922/,2010-02-11 00:00:00,"['张学友', '曾志伟', '袁咏仪', '黄宗泽', '邓丽欣']",http://www.imdb.com/title/tt1602474
Comedy Drama,7-beon-bang-ui seon-mul (2013) ,8.2,"8,123",35,7号房的礼物,8.6,141486.0,https://movie.douban.com/subject/10777687/,2013-01-23(韩国),"['柳承龙', '朴信惠', '郑镇荣', '金正泰', '吴达洙']",http://www.imdb.com/title/tt2659414
Drama,Tian chang di jiu (2009) ,6.7,56,36,80'后,7.0,64023.0,https://movie.douban.com/subject/4036000/,2010-06-25 00:00:00,"['刘冬', '黄明', '伊娜', '陶帅', '铁政']",http://www.imdb.com/title/tt1538533
Crime Drama Mystery,88 Minutes (2007) ,5.9,"68,025",37,88分钟,6.5,14417.0,https://movie.douban.com/subject/1754927/,2007-03-01(以色列),"['2007-04-13(罗马尼亚)', '2007-05-30(法国)', '阿尔·帕西诺', '",http://www.imdb.com/title/tt0411061
Drama Music,8 Mile (2002) ,7.0,"202,123",38,8英里,8.0,39317.0,https://movie.douban.com/subject/1307853/,2002-11-08(美国),"['埃米纳姆', '金·贝辛格', '梅奇·费法', '布莱特妮·墨菲', '伊万·琼斯']",http://www.imdb.com/title/tt0298203
Action Comedy Musical,92 Legendary La Rose Noire (1992) ,7.0,259,39,92黑玫瑰对黑玫瑰,7.4,12452.0,https://movie.douban.com/subject/1299135/,1992-07-02 00:00:00,"['梁家辉', '邵美琪', '毛舜筠', '冯宝宝', '黄韵诗']",http://www.imdb.com/title/tt0103602
Drama History Thriller,United 93 (2006) ,7.6,"86,913",40,93航班,7.7,17407.0,https://movie.douban.com/subject/1588945/,2006-04-28(美国),"['J.J. Johnson', 'Gary Commock', 'Polly Adams', 'O",http://www.imdb.com/title/tt0475276
Action Drama,97 Goo waak zai: Zin mo bat sing (1997) ,6.4,522,41,97古惑仔战无不胜,7.4,32305.0,https://movie.douban.com/subject/1293265/,1997-03-28 00:00:00,"['郑伊健', '陈小春', '李嘉欣', '莫文蔚', '万梓良']",http://www.imdb.com/title/tt0128907
Comedy,97 ga yau hei si (1997) ,6.2,668,42,97家有喜事,7.4,39243.0,https://movie.douban.com/subject/1305197/,1997-02-06(香港),"['周星驰', '黄百鸣', '吴镇宇', '乔宏', '伍咏薇']",http://www.imdb.com/title/tt0118591
Action,98 Goo waak zai: Lung chang foo dau (1998) ,6.0,453,43,98古惑仔之龙争虎斗,7.2,27326.0,https://movie.douban.com/subject/1308290/,1998-01-22(香港),"['郑伊健', '舒淇', '郑浩南', '钱嘉乐', '秦沛']",http://www.imdb.com/title/tt0163511
Drama,99.9 ~ Keiji Senmon Bengoshi             ,7.7,57,44,99.9：刑事专业律师,7.9,11002.0,https://movie.douban.com/subject/26725184/,2016-04-17(日本),"['松本润', '香川照之', '荣仓奈奈', '青木崇高', '片桐仁']",http://www.imdb.com/title/tt5487318
Comedy Horror Mystery,Inside No. 9             ,8.4,"4,070",45,9号秘事第一季,8.8,26339.0,https://movie.douban.com/subject/20452350/,2014-02-05(英国),"['里斯·谢尔史密斯', '史蒂夫·佩姆伯顿', '露西·卡瓦利耶罗', '艾咪费欧‧爱德华兹', ",http://www.imdb.com/title/tt2674806
Comedy Horror Mystery,La Couchette             ,8.1,372,46,9号秘事第二季,8.8,12002.0,https://movie.douban.com/subject/26341777/,2015-03-26(英国),"['马克·本顿', '杰克·怀特霍尔', '史蒂夫·佩姆伯顿', '里斯·谢尔史密斯', '吉姆·霍",http://www.imdb.com/title/tt4513394
Action Comedy,Project A (1983) ,7.4,"11,608",47,A计划,7.6,50562.0,https://movie.douban.com/subject/1297909/,1983-12-22(香港),"['成龙', '洪金宝', '元彪', '黄曼凝', '狄威']",http://www.imdb.com/title/tt0085127
Action Comedy Crime,Project A 2 (1987) ,7.2,"7,025",48,A计划续集,7.4,25303.0,https://movie.douban.com/subject/1299120/,1987-07-25(日本),"['1987-08-19(香港)', '成龙', '张曼玉', '关之琳', '刘嘉玲']",http://www.imdb.com/title/tt0092501
Crime Drama Thriller,The Detective 2 (2011) ,5.7,435,49,B+侦探,5.7,23804.0,https://movie.douban.com/subject/4118060/,2011-04-29(中国大陆),"['郭富城', '廖启智', '徐正曦', '龚蓓苾', '张兆辉']",http://www.imdb.com/title/tt1534786
Comedy Drama Romance,Bridget Jones's Diary (2001) ,6.7,"186,700",50,BJ单身日记,7.5,122956.0,https://movie.douban.com/subject/1304585/,2001-04-04(英国),"['蕾妮·泽尔维格', '科林·费尔斯', '休·格兰特', '吉姆·布劳德本特', '雪莉·亨德森",http://www.imdb.com/title/tt0243155
Comedy Drama Romance,Bridget Jones: The Edge of Reason (2004) ,5.9,"84,764",51,BJ单身日记2：理性边缘,7.3,58707.0,https://movie.douban.com/subject/1308819/,2004-11-12(美国),"['蕾妮·泽尔维格', '科林·费尔斯', '休·格兰特', '吉姆·布劳德本特', '杰茜达·芭瑞",http://www.imdb.com/title/tt0317198
Drama,Border: Keishichô Sôsa Ikka Satsujinhan Sôsa Dai 4-gakkari             ,7.9,58,52,BORDER,8.4,13615.0,https://movie.douban.com/subject/25823110/,2014-04-10(日本),"['小栗旬', '青木崇高', '波瑠', '远藤宪一', '古田新太']",http://www.imdb.com/title/tt3512088
Comedy Romance,B-hyeong namja chingu (2005) ,5.8,558,53,B型男友,6.2,14009.0,https://movie.douban.com/subject/1394520/,2005-02-03(韩国),"['李东健', '韩智慧', '申伊', '白日燮', '郑丽媛']",http://www.imdb.com/title/tt0452972
Drama Thriller,C+ jing taam (2007) ,6.6,"1,033",54,C+侦探,6.5,19958.0,https://movie.douban.com/subject/2263112/,2007-09-25(香港),"['郭富城', '廖启智', '黄德斌', '刘兆铭', '黎耀祥']",http://www.imdb.com/title/tt1107807
Action Drama Romance,Dakteo Yibangin             ,7.5,590,55,Doctor异乡人,7.2,28511.0,https://movie.douban.com/subject/25792670/,2014-05-05(韩国),"['李钟硕', '陈世妍', '朴海镇', '姜素拉', '张亮']",http://www.imdb.com/title/tt3693414
Drama,Dr. Rintarô             ,7.1,46,56,Dr.伦太郎,7.7,16348.0,https://movie.douban.com/subject/26314383/,2015-04-15(日本),"['堺雅人', '苍井优', '吉濑美智子', '内田有纪', '高梨临']",http://www.imdb.com/title/tt4402162
Family Sci-Fi,E.T. the Extra-Terrestrial (1982) ,7.9,"301,724",57,E.T.外星人,8.5,133598.0,https://movie.douban.com/subject/1294638/,1982-06-11(美国),"['1982-05-26(戛纳电影节)', '亨利·托马斯', '迪·沃伦斯', '罗伯特·麦克纳夫",http://www.imdb.com/title/tt0083866
Drama,First Class             ,7.9,29,58,FirstClass,6.5,19836.0,https://movie.douban.com/subject/25842009/,2014-04-19(日本),"['泽尻英龙华', '中丸雄一', '佐佐木希', '菜菜绪', '平山浩行']",http://www.imdb.com/title/tt3585276
Animation Comedy Drama,Free!             ,7.5,"1,303",59,Free!,7.7,13105.0,https://movie.douban.com/subject/24381366/,2013-07-04(日本),"['岛崎信长', '铃木达央', '平川大辅', '宫野真守', '代永翼']",http://www.imdb.com/title/tt2904418
Drama,Go (2001) ,7.6,"2,265",60,GO!大暴走,8.2,13283.0,https://movie.douban.com/subject/1307176/,2001-10-20(日本),"['洼冢洋介', '柴崎幸', '细山田隆人', '山本太郎', '新井浩文']",http://www.imdb.com/title/tt0299937
Drama,Hello! Shu Xian Sheng (2011) ,6.4,120,61,Hello！树先生,7.1,40852.0,https://movie.douban.com/subject/4135710/,2011-11-04(中国大陆),"['王宝强', '谭卓', '何洁', '中国大陆', '韩杰']",http://www.imdb.com/title/tt2043878
Romance,Holding Love (2012) ,4.5,55,62,HOLD住爱,3.4,16383.0,https://movie.douban.com/subject/10539139/,2012-08-23(中国大陆),"['杨幂', '刘恺威', '周秀娜', '王景春', '吴岱融']",http://www.imdb.com/title/tt2457206
Action Mystery Romance,Ailiseu             ,8.1,"1,073",63,IRIS,8.0,16894.0,https://movie.douban.com/subject/3619100/,2009-10-14 00:00:00,"['李秉宪', '金泰熙', '崔胜铉', '金素妍', '郑俊浩']",http://www.imdb.com/title/tt1757202
Comedy,The Internet Is Coming             ,8.6,"1,074",64,IT狂人特别篇,9.2,14417.0,https://movie.douban.com/subject/20453087/,2013-09-27(英国),"['克里斯·奥多德', '理查德·艾欧阿德', '凯瑟琳·帕金森', '英国', '格雷厄姆·莱恩汉",http://www.imdb.com/title/tt3221116
Comedy,The IT Crowd             ,8.6,"100,453",65,IT狂人第一季,8.9,47040.0,https://movie.douban.com/subject/1758810/,2006-02-03(英国),"['克里斯·奥多德', '理查德·艾欧阿德', '凯瑟琳·帕金森', '克里斯多夫·莫利斯', '英",http://www.imdb.com/title/tt0487831
Comedy,From Hell             ,7.8,884,66,IT狂人第三季,9.3,25012.0,https://movie.douban.com/subject/3345619/,2008-11-21(英国),"['克里斯·奥多德', '理查德·艾欧阿德', '凯瑟琳·帕金森', '马特·贝里', '英国']",http://www.imdb.com/title/tt1321272
Comedy,The Work Outing             ,9.4,"2,267",67,IT狂人第二季,9.3,29364.0,https://movie.douban.com/subject/3570688/,2007-08-24(英国),"['克里斯·奥多德', '理查德·艾欧阿德', '凯瑟琳·帕金森', '英国', 'www.chan",http://www.imdb.com/title/tt0849997
Comedy,Jen the Fredo             ,8.1,873,68,IT狂人第四季,9.3,24863.0,https://movie.douban.com/subject/4850563/,2010-06-25(英国),"['克里斯·奥多德', '理查德·艾欧阿德', '凯瑟琳·帕金森', '英国', 'www.chan",http://www.imdb.com/title/tt1650327
Drama Romance Sci-Fi,I Origins (2014) ,7.3,"87,882",69,I型起源,7.6,15362.0,https://movie.douban.com/subject/24696982/,2014-01-18(圣丹斯电影节),"['迈克尔·皮特', '史蒂文·连', '阿斯特丽德·伯格斯-弗瑞斯贝', '布里特·马灵', 'D",http://www.imdb.com/title/tt2884206
Animation Action Drama,K             ,7.3,"1,032",70,K,7.4,16873.0,https://movie.douban.com/subject/10545923/,2012-10-05 (日本),"['浪川大辅', '杉田智和', '福山润', '宫野真守', '津田健次郎']",http://www.imdb.com/title/tt2377452
Drama Sci-Fi,K-PAX (2001) ,7.4,"157,134",71,K星异客,8.5,46262.0,https://movie.douban.com/subject/1306607/,2001-10-26(美国),"['凯文·史派西', '杰夫·布里吉斯', '玛丽·麦克科马克', '阿尔法·伍达德', '大卫·帕",http://www.imdb.com/title/tt0272152
Comedy Music Romance,Music and Lyrics (2007) ,6.5,"85,489",72,K歌情人,7.5,61583.0,https://movie.douban.com/subject/1937401/,2007-02-14(美国),"['休·格兰特', '德鲁·巴里摩尔', '斯科特·波特', '布拉德·加内特', '海莉·贝内特'",http://www.imdb.com/title/tt0758766
Action Crime Drama,Laughing Gor: Bin chit (2009) ,5.8,353,73,LaughingGor之变节,6.5,19270.0,https://movie.douban.com/subject/3811342/,2009-08-13 00:00:00,"['谢天华', '黄秋生', '吴镇宇', '陈法拉', '黄日华']",http://www.imdb.com/title/tt1483421
Crime Drama Mystery,M (1931) ,8.4,"108,243",74,M就是凶手,8.2,14857.0,https://movie.douban.com/subject/1293381/,1931-05-11(德国),"['彼得·洛', '艾伦·维德曼', '因格·兰德特', '奥托·维尔尼克', '德国']",http://www.imdb.com/title/tt0022100
Drama Horror Mystery,Office you gui (2002) ,5.9,221,75,Office有鬼,6.5,21639.0,https://movie.douban.com/subject/1307807/,2002-09-06 00:00:00,"['陈小春', '冯德伦', '莫文蔚', '舒淇', '黄琛瑜']",http://www.imdb.com/title/tt0339464
Animation Sci-Fi Short,On Your Mark (1995) ,7.7,"3,071",77,ONYOURMARKGhibli实验剧场,8.5,14365.0,https://movie.douban.com/subject/1432701/,1995-07-15(日本),"['日本', '宫崎骏', '6分48秒', 'ON YOUR MARK Ghibli实验剧场', ",http://www.imdb.com/title/tt0114038
Drama,Pk.com.cn (2008) ,7.7,13,78,PK.COM.CN,7.1,10275.0,https://movie.douban.com/subject/2286009/,2008-03-14(中国大陆),"['房祖名', '陈柏霖', '牛萌萌', '张博', '罗家英']",http://www.imdb.com/title/tt2936212
Comedy,Priceless             ,7.4,75,79,PRICELESS：有才怪，这样的东西！,7.6,10240.0,https://movie.douban.com/subject/11600137/,2012-10-22(日本),"['木村拓哉', '中井贵一', '香里奈', '藤谷太辅', '莲佛美沙子']",http://www.imdb.com/title/tt2334892
Animation Comedy Family,Tom & Jerry Kids Show             ,6.3,"1,838",80,Q版猫和老鼠,9.2,37945.0,https://movie.douban.com/subject/2138382/,1990-09-08 00:00:00,"['Teresa Ganzel', 'Richard Gautier', 'Frank Welker",http://www.imdb.com/title/tt0198254
Comedy Game-Show Reality-TV,Leonning maen             ,9.2,"1,624",81,RunningMan,9.6,18762.0,https://movie.douban.com/subject/10509888/,2010-07-11(韩国),"['刘在石', '河东勋', '李光洙', '金钟国', '池石镇']",http://www.imdb.com/title/tt2185037
Drama,Keizoku 2: SPEC - Keishichou kouanbu kouan daigoka mishou jiken tokubetsu taisakugakari jikenbo             ,7.7,138,82,SPEC,8.8,41273.0,https://movie.douban.com/subject/4917705/,2010-10-08(日本),"['户田惠梨香', '加濑亮', '福田沙纪', '城田优', '龙雷太']",http://www.imdb.com/title/tt1712150
Drama,Gekijouban SPEC: Ten (2012) ,6.0,196,83,SPEC：天,7.6,19424.0,https://movie.douban.com/subject/6717573/,2012-04-07(日本),"['户田惠梨香', '加濑亮', '栗山千明', '福田沙纪', '神木隆之介']",http://www.imdb.com/title/tt1881045
Drama,SPEC ~Keishichou Kouanbu Kouan Daigoka Mishou Jiken Tokubetsu Taisakugakari Jikenbo~ Shou (2012) ,7.3,106,84,SPEC：翔,8.5,24069.0,https://movie.douban.com/subject/6717574/,2012-04-01(日本),"['户田惠梨香', '加濑亮', '浅野优子', '谷村美月', '福田沙纪']",http://www.imdb.com/title/tt1988184
Action,SPEC: Zero (2013) ,6.7,74,85,SPEC：零,7.8,12757.0,https://movie.douban.com/subject/20427168/,2013-10-23(日本),"['户田惠梨香', '加濑亮', '神木隆之介', '福田沙纪', '城田优']",http://www.imdb.com/title/tt2641868
Drama,Summer Nude             ,7.2,73,86,SUMMERNUDE,6.8,11133.0,https://movie.douban.com/subject/24719090/,2013-07-08(日本),"['山下智久', '香里奈', '户田惠梨香', '胜地凉', '洼田正孝']",http://www.imdb.com/title/tt2949966
Animation Comedy Drama,S.A: Supesharu ê             ,7.5,275,87,S·A特优生,7.0,11560.0,https://movie.douban.com/subject/3035537/,2008-04-06(日本),"['后藤邑子', '福山润', '代永翼', '生天目仁美', '日本']",http://www.imdb.com/title/tt1216196
Action Drama Thriller,V for Vendetta (2005) ,8.2,"855,350",88,V字仇杀队,8.8,367849.0,https://movie.douban.com/subject/1309046/,2005-12-11(BNAT电影节),"['2006-03-17(美国)', '娜塔莉·波特曼', '雨果·维文', '鲁珀特·格雷夫斯',",http://www.imdb.com/title/tt0434409
Drama Fantasy Romance,W - du gaeui segye             ,8.4,"1,517",89,W-两个世界,8.2,72228.0,https://movie.douban.com/subject/26727298/,2016-07-20(韩国),"['李钟硕', '韩孝周', '郑幼贞', '姜其永', '金义城']",http://www.imdb.com/title/tt5797194
Action Adventure Sci-Fi,X-Men (2000) ,7.4,"487,429",90,X战警,7.5,126956.0,https://movie.douban.com/subject/1295250/,2000-07-14(美国),"['休·杰克曼', '帕特里克·斯图尔特', '伊恩·麦克莱恩', '法米克·詹森', '詹姆斯·麦",http://www.imdb.com/title/tt0120903
Action Adventure Fantasy,X2 (2003) ,7.5,"436,060",91,X战警2,7.6,113130.0,https://movie.douban.com/subject/1305724/,2003-05-02(美国),"['2003-09-29(中国大陆)', '帕特里克·斯图尔特', '休·杰克曼', '伊恩·麦克莱",http://www.imdb.com/title/tt0290334
Action Adventure Fantasy,X-Men: The Last Stand (2006) ,6.7,"410,755",92,X战警3：背水一战,7.5,107825.0,https://movie.douban.com/subject/1401524/,2006-05-22(戛纳电影节),"['2006-05-26(美国)', '2006-09-08(中国大陆)', '休·杰克曼', '哈",http://www.imdb.com/title/tt0376994
Action Adventure Sci-Fi,X-Men: Apocalypse (2016) ,7.0,"286,749",93,X战警：天启,7.9,162227.0,https://movie.douban.com/subject/25786060/,2016-06-03(中国大陆),"['2016-05-09(伦敦首映)', '2016-05-27(美国)', '詹姆斯·麦卡沃伊',",http://www.imdb.com/title/tt3385516
Action Adventure Sci-Fi,X: First Class (2011) ,7.8,"555,241",94,X战警：第一战,8.1,165343.0,https://movie.douban.com/subject/3168089/,2011-05-25(纽约首映),"['2011-06-01(英国)', '2011-06-03(美国)', '詹姆斯·麦卡沃伊', '",http://www.imdb.com/title/tt1270798
Action Adventure Sci-Fi,X-Men: Days of Future Past (2014) ,8.0,"558,897",95,X战警：逆转未来,8.2,227294.0,https://movie.douban.com/subject/10485647/,2014-05-23(美国/中国大陆),"['休·杰克曼', '詹姆斯·麦卡沃伊', '迈克尔·法斯宾德', '詹妮弗·劳伦斯', '哈莉·贝",http://www.imdb.com/title/tt1877832
Drama Mystery Sci-Fi,The X-Files             ,8.7,"162,014",96,X档案第一季,8.9,10385.0,https://movie.douban.com/subject/1295520/,1993-09-10(美国),"['大卫·杜楚尼', '吉莲·安德森', '米彻·佩勒吉', '汤姆·布莱德伍德', '威廉·B·戴",http://www.imdb.com/title/tt0106179
Comedy,Project X (2012) ,6.7,"165,263",97,X计划,7.0,13888.0,https://movie.douban.com/subject/4810698/,2012-03-02(美国),"['托马斯·曼', '奥利弗·库珀', '乔纳森·丹尼尔·布朗', '可比·毕丝·布兰顿', '德克",http://www.imdb.com/title/tt1636826
Drama Romance,Yi Yi (2000) ,8.1,"14,228",98,一一,8.9,135012.0,https://movie.douban.com/subject/1292434/,2000-05-14(戛纳电影节),"['2000-12-16(日本)', '2009-11-06(台湾)', '吴念真', '李凯莉',",http://www.imdb.com/title/tt0244316
Action Drama,Yi ge ren de wu lin (2014) ,6.5,"7,326",99,一个人的武林,6.2,38681.0,https://movie.douban.com/subject/24695277/,2014-10-31(中国大陆),"['甄子丹', '王宝强', '杨采妮', '白冰', '方中信']",http://www.imdb.com/title/tt2952602
